"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"20676","BASIC NEEDS","30/1/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Men (Age 18 and above)- # in Female Headed Household receiving HH Items","AzraqCamp","Men","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",52,"# of benef","Azraq Camp","North","Camp"
"20688","BASIC NEEDS","30/3/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Men (Age 18 and above)- # in Female Headed Household receiving HH Items","AzraqCamp","Men","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",68,"# of benef","Azraq Camp","North","Camp"
"20745","BASIC NEEDS","28/2/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Men (Age 18 and above)- # in Female Headed Household receiving HH Items","AzraqCamp","Men","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",207,"# of benef","Azraq Camp","North","Camp"
"20759","BASIC NEEDS","30/5/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Men (Age 18 and above)- # in Female Headed Household receiving HH Items","AzraqCamp","Men","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",26,"# of benef","Azraq Camp","North","Camp"
"20822","BASIC NEEDS","30/7/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Women (Age 18 and above)- # in Female Headed Household receiving HH Items","AzraqCamp","Women","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",213,"# of benef","Azraq Camp","North","Camp"
"20823","BASIC NEEDS","28/2/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Women (Age 18 and above)- # in Female Headed Household receiving HH Items","AzraqCamp","Women","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",195,"# of benef","Azraq Camp","North","Camp"
"20985","BASIC NEEDS","30/4/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Girls (Age 0-17)- # in Female Headed Household receiving HH Items","AzraqCamp","Girls","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",275,"# of benef","Azraq Camp","North","Camp"
"20996","BASIC NEEDS","30/5/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Girls (Age 0-17)- # in Female Headed Household receiving HH Items","AzraqCamp","Girls","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",242,"# of benef","Azraq Camp","North","Camp"
"21105","BASIC NEEDS","30/3/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Boys (Age 0-17)- # in Female Headed Household receiving HH Items","AzraqCamp","Boys","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",559,"# of benef","Azraq Camp","North","Camp"
"21108","BASIC NEEDS","30/4/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Boys (Age 0-17)- # in Female Headed Household receiving HH Items","AzraqCamp","Boys","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",322,"# of benef","Azraq Camp","North","Camp"
"21230","BASIC NEEDS","30/1/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Girls (Age 0-17)- # in Female Headed Household receiving HH Items","AzraqCamp","Girls","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",56,"# of benef","Azraq Camp","North","Camp"
"21231","BASIC NEEDS","30/3/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Girls (Age 0-17)- # in Female Headed Household receiving HH Items","AzraqCamp","Girls","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",473,"# of benef","Azraq Camp","North","Camp"
"21239","BASIC NEEDS","30/7/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Men (Age 18 and above)- # in Female Headed Household receiving HH Items","AzraqCamp","Men","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",25,"# of benef","Azraq Camp","North","Camp"
"21468","BASIC NEEDS","30/3/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Women (Age 18 and above)- # in Female Headed Household receiving HH Items","AzraqCamp","Women","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",548,"# of benef","Azraq Camp","North","Camp"
"21588","BASIC NEEDS","30/6/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Women (Age 18 and above)- # in Female Headed Household receiving HH Items","AzraqCamp","Women","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",332,"# of benef","Azraq Camp","North","Camp"
"21822","BASIC NEEDS","28/2/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Girls (Age 0-17)- # in Female Headed Household receiving HH Items","AzraqCamp","Girls","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",225,"# of benef","Azraq Camp","North","Camp"
"21823","BASIC NEEDS","30/7/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Girls (Age 0-17)- # in Female Headed Household receiving HH Items","AzraqCamp","Girls","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",178,"# of benef","Azraq Camp","North","Camp"
"21942","BASIC NEEDS","30/1/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Women (Age 18 and above)- # in Female Headed Household receiving HH Items","AzraqCamp","Women","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",53,"# of benef","Azraq Camp","North","Camp"
"21953","BASIC NEEDS","30/4/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Men (Age 18 and above)- # in Female Headed Household receiving HH Items","AzraqCamp","Men","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",43,"# of benef","Azraq Camp","North","Camp"
"22072","BASIC NEEDS","30/6/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Boys (Age 0-17)- # in Female Headed Household receiving HH Items","AzraqCamp","Boys","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",273,"# of benef","Azraq Camp","North","Camp"
"22191","BASIC NEEDS","30/5/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Boys (Age 0-17)- # in Female Headed Household receiving HH Items","AzraqCamp","Boys","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",210,"# of benef","Azraq Camp","North","Camp"
"22195","BASIC NEEDS","30/4/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Women (Age 18 and above)- # in Female Headed Household receiving HH Items","AzraqCamp","Women","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",310,"# of benef","Azraq Camp","North","Camp"
"22304","BASIC NEEDS","30/6/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Men (Age 18 and above)- # in Female Headed Household receiving HH Items","AzraqCamp","Men","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",34,"# of benef","Azraq Camp","North","Camp"
"22313","BASIC NEEDS","28/2/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Boys (Age 0-17)- # in Female Headed Household receiving HH Items","AzraqCamp","Boys","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",245,"# of benef","Azraq Camp","North","Camp"
"22314","BASIC NEEDS","30/5/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Women (Age 18 and above)- # in Female Headed Household receiving HH Items","AzraqCamp","Women","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",270,"# of benef","Azraq Camp","North","Camp"
"22429","BASIC NEEDS","30/1/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Boys (Age 0-17)- # in Female Headed Household receiving HH Items","AzraqCamp","Boys","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",60,"# of benef","Azraq Camp","North","Camp"
"22551","BASIC NEEDS","30/7/2015","Basic HH Needs are met","[REF1.1]Provision of NFIs/Vouchers (Camp)"," # in Female Headed Household receiving HH Items","Camps Syrian Boys (Age 0-17)- # in Female Headed Household receiving HH Items","AzraqCamp","Boys","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",236,"# of benef","Azraq Camp","North","Camp"
